Anther,Sepal,Ovary,Pod,Stigma,Flower,Leaf
GLYMA_20G079400,ENSRNA050003242,GLYMA_02G094300,GLYMA_14G051500,GLYMA_16G043400,GLYMA_10G167500,GLYMA_03G102900
GLYMA_16G105400,GLYMA_16G004100,GLYMA_13G153600,GLYMA_20G161200,GLYMA_17G073300,GLYMA_05G024200,GLYMA_02G277700
GLYMA_18G251400,GLYMA_04G066400,GLYMA_15G198500,GLYMA_14G044500,GLYMA_12G020600,GLYMA_11G119500,GLYMA_13G325200
GLYMA_13G143300,GLYMA_12G201500,GLYMA_05G049300,GLYMA_10G258300,GLYMA_17G258100,GLYMA_16G068000,GLYMA_08G230400
GLYMA_19G112700,GLYMA_14G063900,GLYMA_18G166600,GLYMA_05G243200,GLYMA_06G015300,GLYMA_09G143900,GLYMA_19G084400
GLYMA_01G167500,GLYMA_20G022800,GLYMA_05G147200,GLYMA_04G019600,GLYMA_02G163900,GLYMA_06G275700,GLYMA_02G097300
GLYMA_02G078000,GLYMA_07G021600,GLYMA_06G008800,GLYMA_10G094600,GLYMA_10G066500,GLYMA_19G199500,GLYMA_01G012400
GLYMA_07G127900,GLYMA_10G178200,GLYMA_10G039100,GLYMA_08G200200,GLYMA_09G017200,GLYMA_04G138500,GLYMA_05G242400
GLYMA_13G298200,GLYMA_03G215200,GLYMA_20G193600,GLYMA_19G024400,GLYMA_09G086200,GLYMA_09G007200,ENSRNA050003787
GLYMA_19G114700,GLYMA_08G250700,GLYMA_02G169200,GLYMA_01G175600,GLYMA_18G096400,GLYMA_05G002200,GLYMA_17G108300
GLYMA_13G096400,GLYMA_13G068500,GLYMA_10G123100,GLYMA_17G206800,GLYMA_08G292400,GLYMA_20G224500,GLYMA_06G293200
GLYMA_10G027100,GLYMA_12G084600,GLYMA_02G231200,GLYMA_02G207000,GLYMA_17G095700,GLYMA_20G191900,GLYMA_11G034000
GLYMA_02G203700,GLYMA_13G269100,GLYMA_20G130800,GLYMA_19G109000,GLYMA_19G208600,GLYMA_18G242200,GLYMA_18G284600
GLYMA_04G020600,GLYMA_01G188700,GLYMA_08G192200,GLYMA_17G132300,GLYMA_09G018300,GLYMA_03G252100,GLYMA_17G249900
GLYMA_12G208400,GLYMA_09G027000,GLYMA_02G064700,GLYMA_20G213200,GLYMA_13G135900,GLYMA_08G110500,GLYMA_08G126300
GLYMA_03G086600,GLYMA_12G101800,GLYMA_08G092000,GLYMA_01G005400,GLYMA_14G067000,GLYMA_07G123100,GLYMA_19G049500
GLYMA_09G152300,GLYMA_20G188000,GLYMA_07G240000,GLYMA_18G157300,GLYMA_19G197300,GLYMA_19G170500,GLYMA_08G179000
GLYMA_09G285100,GLYMA_14G070600,ENSRNA050003592,GLYMA_18G133400,GLYMA_01G010300,GLYMA_20G008600,GLYMA_05G066700
GLYMA_07G025200,GLYMA_01G193200,GLYMA_17G000400,GLYMA_06G315500,GLYMA_15G183500,GLYMA_16G057700,GLYMA_10G038600
GLYMA_11G146300,GLYMA_11G202600,GLYMA_16G156400,GLYMA_19G000300,GLYMA_03G176400,GLYMA_07G241300,GLYMA_19G229700
GLYMA_02G251900,GLYMA_11G040000,GLYMA_10G220600,GLYMA_20G202100,GLYMA_09G179400,GLYMA_05G148800,GLYMA_13G056600
GLYMA_01G210100,GLYMA_04G103900,GLYMA_04G059700,GLYMA_11G114000,GLYMA_15G048000,GLYMA_08G295500,GLYMA_11G213200
GLYMA_08G222100,GLYMA_13G316200,GLYMA_10G083300,GLYMA_12G183100,GLYMA_07G202500,GLYMA_05G218500,GLYMA_11G173100
GLYMA_11G017100,GLYMA_05G221800,GLYMA_01G225300,GLYMA_13G147000,GLYMA_08G341100,GLYMA_19G072000,GLYMA_08G017800
GLYMA_02G204200,GLYMA_06G290400,GLYMA_17G137700,GLYMA_06G310100,GLYMA_06G001900,GLYMA_11G213700,GLYMA_02G202500
GLYMA_09G216800,GLYMA_09G248500,GLYMA_15G075600,GLYMA_07G134400,GLYMA_15G013400,GLYMA_01G114000,GLYMA_13G361500
GLYMA_08G156900,GLYMA_14G223100,GLYMA_13G247300,GLYMA_17G223600,GLYMA_15G239600,GLYMA_02G279100,GLYMA_01G179900
GLYMA_05G183800,GLYMA_09G024200,GLYMA_03G142800,GLYMA_05G081300,GLYMA_19G178700,GLYMA_10G029000,GLYMA_09G002600
GLYMA_15G145400,GLYMA_03G238300,GLYMA_06G316400,GLYMA_20G157500,GLYMA_04G145400,GLYMA_08G140500,GLYMA_06G235500
GLYMA_18G248200,GLYMA_20G164500,GLYMA_08G267700,GLYMA_16G015800,GLYMA_13G299400,GLYMA_14G151400,GLYMA_12G050300
GLYMA_09G112100,GLYMA_12G228900,GLYMA_13G370500,GLYMA_13G021000,GLYMA_13G178700,GLYMA_04G112800,ENSRNA050003612
GLYMA_15G275600,GLYMA_08G026500,GLYMA_16G197700,GLYMA_18G023200,GLYMA_13G351200,GLYMA_17G137700,GLYMA_13G156700
GLYMA_03G133600,GLYMA_10G250100,GLYMA_04G166300,GLYMA_09G068000,GLYMA_17G050800,GLYMA_03G180200,GLYMA_09G063200
GLYMA_08G031800,GLYMA_13G369700,GLYMA_17G160400,GLYMA_15G068500,GLYMA_06G068900,GLYMA_07G019500,GLYMA_06G076000
GLYMA_09G208500,GLYMA_05G096500,GLYMA_16G221700,GLYMA_01G113000,GLYMA_04G072600,GLYMA_18G201900,GLYMA_19G173500
GLYMA_10G206100,GLYMA_04G189900,GLYMA_17G128100,GLYMA_13G358700,GLYMA_09G148200,GLYMA_20G076300,GLYMA_09G223600
GLYMA_11G021700,GLYMA_18G114900,GLYMA_U031300,GLYMA_08G108800,GLYMA_13G207800,GLYMA_03G248400,GLYMA_17G261700
GLYMA_05G220200,GLYMA_05G012400,GLYMA_08G217900,GLYMA_11G222100,GLYMA_15G046700,GLYMA_09G133200,GLYMA_15G211400
GLYMA_01G150600,GLYMA_16G169800,GLYMA_20G075100,GLYMA_12G222000,GLYMA_15G069400,GLYMA_09G146700,GLYMA_10G106100
GLYMA_20G221300,GLYMA_08G360600,GLYMA_13G051200,GLYMA_09G238300,GLYMA_12G072400,GLYMA_07G254500,GLYMA_15G067900
GLYMA_04G245100,GLYMA_16G163800,GLYMA_13G256000,GLYMA_06G073900,GLYMA_07G125700,GLYMA_16G218000,GLYMA_06G293500
GLYMA_13G316700,GLYMA_15G129800,GLYMA_05G126100,GLYMA_13G355300,GLYMA_07G144300,GLYMA_11G084400,GLYMA_20G017200
GLYMA_07G142000,GLYMA_13G057800,GLYMA_16G151700,GLYMA_14G187400,GLYMA_08G172000,GLYMA_02G012900,GLYMA_20G125700
GLYMA_10G090100,GLYMA_01G146400,GLYMA_17G179200,GLYMA_16G059400,GLYMA_15G089300,GLYMA_11G104900,GLYMA_14G025600
GLYMA_12G019300,GLYMA_14G160600,GLYMA_05G209400,GLYMA_03G255000,GLYMA_15G067200,GLYMA_05G149900,GLYMA_14G002000
GLYMA_19G108300,GLYMA_10G156900,GLYMA_02G048100,GLYMA_02G154700,GLYMA_01G217400,GLYMA_19G078300,GLYMA_10G051200
GLYMA_02G138500,GLYMA_06G076400,GLYMA_02G158200,GLYMA_01G008900,GLYMA_10G055300,GLYMA_16G096700,GLYMA_07G043800
GLYMA_04G036800,GLYMA_04G003800,GLYMA_10G058000,GLYMA_14G041800,GLYMA_17G152800,GLYMA_06G292400,GLYMA_19G154700
GLYMA_02G021600,GLYMA_07G106100,GLYMA_01G231400,GLYMA_01G118800,GLYMA_08G074800,GLYMA_02G125400,GLYMA_15G143200
GLYMA_04G128800,GLYMA_15G205500,GLYMA_05G127300,GLYMA_10G139700,GLYMA_10G243500,GLYMA_11G000900,GLYMA_18G281100
GLYMA_03G140000,GLYMA_15G162800,GLYMA_02G116300,GLYMA_17G251000,GLYMA_11G080700,GLYMA_20G146100,GLYMA_05G144800
GLYMA_06G157100,GLYMA_08G218500,GLYMA_18G122000,GLYMA_17G123600,GLYMA_01G215500,GLYMA_17G197200,GLYMA_03G032100
GLYMA_16G043700,GLYMA_18G272100,GLYMA_20G150900,GLYMA_18G249600,GLYMA_20G076300,GLYMA_14G124300,GLYMA_07G036100
GLYMA_18G065500,GLYMA_09G074300,GLYMA_04G025800,GLYMA_02G306300,GLYMA_05G007200,GLYMA_02G281000,GLYMA_16G096500
GLYMA_18G142500,GLYMA_17G003900,GLYMA_05G203700,GLYMA_02G142700,GLYMA_02G169700,GLYMA_17G160400,GLYMA_06G134900
GLYMA_18G234100,GLYMA_04G082300,GLYMA_06G028000,GLYMA_01G201200,GLYMA_06G317400,GLYMA_12G099900,GLYMA_20G002000
GLYMA_13G200400,GLYMA_10G272800,GLYMA_07G218200,GLYMA_05G223100,GLYMA_07G039300,ENSRNA050003823,GLYMA_12G202500
GLYMA_04G030800,GLYMA_04G236800,GLYMA_08G124200,GLYMA_07G115400,GLYMA_19G127700,GLYMA_15G077600,GLYMA_08G046600
GLYMA_08G051600,GLYMA_06G143800,GLYMA_08G213500,GLYMA_11G140000,GLYMA_09G067700,GLYMA_03G224600,GLYMA_06G170700
GLYMA_19G245800,GLYMA_11G047400,GLYMA_09G086200,GLYMA_03G260000,GLYMA_09G264700,GLYMA_16G058200,GLYMA_18G025900
GLYMA_13G324900,GLYMA_13G261000,GLYMA_17G247700,GLYMA_10G032200,GLYMA_02G173000,GLYMA_08G293300,GLYMA_05G207000
GLYMA_15G136900,GLYMA_17G074200,GLYMA_20G245400,GLYMA_03G143100,GLYMA_18G015300,GLYMA_08G103700,GLYMA_14G029100
GLYMA_19G077600,GLYMA_05G023800,GLYMA_04G056400,ENSRNA050003487,GLYMA_12G178200,GLYMA_17G093400,GLYMA_03G015500
GLYMA_12G132800,GLYMA_16G063100,ENSRNA050003809,GLYMA_05G029800,GLYMA_13G022400,GLYMA_10G207200,GLYMA_16G003900
GLYMA_19G231700,GLYMA_14G051200,GLYMA_19G143700,GLYMA_05G157600,GLYMA_13G120700,GLYMA_05G153800,GLYMA_15G160700
GLYMA_04G047200,GLYMA_04G067200,GLYMA_06G204100,GLYMA_01G208200,GLYMA_16G115700,GLYMA_07G059400,GLYMA_19G261700
GLYMA_06G012000,GLYMA_11G090400,GLYMA_05G153500,GLYMA_07G020000,GLYMA_19G196300,GLYMA_03G019600,GLYMA_05G123500
GLYMA_11G011300,GLYMA_08G294800,GLYMA_17G052000,GLYMA_20G132300,GLYMA_11G030700,GLYMA_16G035800,GLYMA_13G051800
GLYMA_09G037300,GLYMA_10G050700,GLYMA_08G192500,GLYMA_15G152100,GLYMA_12G221200,GLYMA_11G179400,GLYMA_17G073300
